epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7017.9,1.75854,2.86561,1.26037,1.17062,0.42235,0.30296,0.32926,0.17096,0.38575,0.27158,0.29431,0.1311,1.89326,2.92554,1.25507,1.10445,0.00120491,0.00120491,0.00120491
30,7181.11,1.76914,2.87805,1.26386,1.17044,0.46596,0.30444,0.34011,0.17949,0.44955,0.27797,0.31222,0.14264,1.87792,2.96518,1.2371,1.10123,0.0011884,0.0011884,0.0011884
31,7314.02,1.74444,2.85599,1.24374,1.16929,0.45372,0.29083,0.33329,0.17677,0.42392,0.26667,0.30071,0.13557,1.84977,2.93435,1.22961,1.09147,0.0011719,0.0011719,0.0011719
32,7514.11,1.71334,2.79101,1.21444,1.15418,0.46391,0.3031,0.33884,0.18347,0.43762,0.28398,0.31512,0.14678,1.83387,2.88802,1.2254,1.09909,0.0011554,0.0011554,0.0011554
33,7730.25,1.71929,2.82711,1.22195,1.15799,0.46201,0.32781,0.35519,0.18835,0.44844,0.3111,0.33604,0.15401,1.85978,2.92508,1.2015,1.11168,0.00113889,0.00113889,0.00113889
34,7914.12,1.7696,2.86651,1.2774,1.16351,0.43613,0.30411,0.33037,0.181,0.4124,0.28508,0.30968,0.14293,1.84797,2.86553,1.22237,1.0902,0.00112239,0.00112239,0.00112239
35,8110.63,1.75194,2.82628,1.23376,1.16308,0.43432,0.31561,0.3367,0.18358,0.42572,0.29917,0.32031,0.14999,1.8506,2.86745,1.20871,1.10082,0.00110589,0.00110589,0.00110589
36,8516.9,1.7454,2.81298,1.23573,1.16308,0.44363,0.29974,0.331,0.17771,0.42264,0.28261,0.30802,0.1428,1.83606,2.86564,1.21073,1.09416,0.00108938,0.00108938,0.00108938
37,8780.76,1.70675,2.80122,1.20296,1.15198,0.45073,0.32333,0.34846,0.19166,0.42903,0.30433,0.32717,0.15091,1.80681,2.87522,1.17907,1.08365,0.00107288,0.00107288,0.00107288
38,8985.24,1.73828,2.80211,1.1962,1.15044,0.46804,0.31496,0.35178,0.1881,0.43995,0.28947,0.32126,0.14177,1.82595,2.93569,1.24778,1.08071,0.00105638,0.00105638,0.00105638
39,9179.94,1.737,2.83252,1.22098,1.14763,0.44538,0.31885,0.33611,0.18358,0.42366,0.29898,0.31412,0.14697,1.84622,2.90367,1.20625,1.10063,0.00103987,0.00103987,0.00103987
40,9469.42,1.7473,2.80136,1.23422,1.15356,0.44589,0.3223,0.34696,0.19274,0.42305,0.30492,0.32706,0.15646,1.80916,2.83273,1.19939,1.08251,0.00102337,0.00102337,0.00102337
41,9681.6,1.73115,2.8054,1.23007,1.15776,0.4366,0.33982,0.34991,0.18929,0.41486,0.31417,0.32389,0.15165,1.83371,2.85183,1.18613,1.09504,0.00100687,0.00100687,0.00100687
42,10287.4,1.72822,2.8163,1.21889,1.16067,0.47712,0.30347,0.33741,0.1837,0.45174,0.27936,0.31334,0.14359,1.82789,2.89758,1.20545,1.08091,0.000990365,0.000990365,0.000990365
43,10497.4,1.74872,2.78315,1.21406,1.14653,0.45451,0.31011,0.33411,0.18586,0.44906,0.29592,0.32271,0.15252,1.81997,2.83623,1.20329,1.09165,0.000973861,0.000973861,0.000973861
44,10604.3,1.72822,2.79445,1.19235,1.14228,0.47491,0.32582,0.35214,0.18795,0.45194,0.29957,0.32482,0.15108,1.84595,2.88652,1.1986,1.10716,0.000957358,0.000957358,0.000957358
45,11143.4,1.73645,2.77446,1.19489,1.13874,0.47788,0.32987,0.35934,0.19134,0.44411,0.30997,0.33649,0.15483,1.83468,2.86416,1.2154,1.09825,0.000940855,0.000940855,0.000940855
46,11459.6,1.68957,2.76027,1.16391,1.14834,0.47473,0.33338,0.35967,0.19319,0.43875,0.30365,0.32701,0.15488,1.85111,2.85308,1.19369,1.10688,0.000924352,0.000924352,0.000924352
47,11618.3,1.71278,2.76955,1.19072,1.13339,0.43828,0.33624,0.34791,0.192,0.41325,0.30107,0.32387,0.15299,1.80865,2.86328,1.1692,1.07984,0.000907848,0.000907848,0.000907848
48,11926.7,1.71359,2.79329,1.19994,1.14745,0.48425,0.3147,0.35674,0.19516,0.46011,0.29345,0.33381,0.15967,1.81911,2.85253,1.18859,1.09099,0.000891345,0.000891345,0.000891345
49,12101.5,1.70746,2.7567,1.18862,1.1425,0.46259,0.33783,0.35622,0.191,0.4294,0.31201,0.33272,0.15792,1.841,2.82789,1.17749,1.10205,0.000874842,0.000874842,0.000874842
50,12339.9,1.71817,2.76863,1.16856,1.133,0.474,0.31503,0.35321,0.19589,0.4409,0.29496,0.32823,0.15746,1.78497,2.81759,1.17798,1.08172,0.000858338,0.000858338,0.000858338
